;lemma;absol_freq;relat_freq
109;південь;261;0.0008277778130173611
110;власний;260;0.0008246062505153789
111;око;254;0.0008055768755034856
112;перемога;254;0.0008055768755034856
113;наступ;253;0.0008024053130015034
114;єс;252;0.0007992337504995211
115;населення;252;0.0007992337504995211
116;початок;251;0.0007960621879975389
117;право;251;0.0007960621879975389
118;прийти;251;0.0007960621879975389
119;світовий;250;0.0007928906254955566
120;вторгнення;249;0.0007897190629935744
121;повинний;247;0.0007833759379896099
122;цивільний;247;0.0007833759379896099
123;Херсон;247;0.0007833759379896099
124;можливо;246;0.0007802043754876277
125;інформація;246;0.0007802043754876277
126;тиждень;243;0.000770689687981681
127;громадянин;241;0.0007643465629777166
128;історія;241;0.0007643465629777166
129;склад;240;0.0007611750004757344
130;напад;239;0.0007580034379737521
131;гірший;236;0.0007484887504678055
132;бойовий;235;0.0007453171879658233
133;читати;235;0.0007453171879658233
134;жінка;235;0.0007453171879658233
135;бік;234;0.000742145625463841
136;зрада;234;0.000742145625463841
137;російська;233;0.0007389740629618588
138;озброєння;233;0.0007389740629618588
139;помилка;232;0.0007358025004598766
140;москва;231;0.0007326309379578944
141;боятися;231;0.0007326309379578944
142;ситуація;226;0.0007167731254479832
143;фронт;225;0.000713601562946001
144;факт;222;0.0007040868754400543
145;політик;222;0.0007040868754400543
146;рішення;222;0.0007040868754400543
147;вірити;220;0.0006977437504360898
148;жити;219;0.0006945721879341076
149;вийти;218;0.0006914006254321254
150;орда;216;0.0006850575004281609
151;випадок;214;0.0006787143754241965
152;порошенко;214;0.0006787143754241965
153;кількість;211;0.0006691996879182498
154;напрямок;210;0.0006660281254162676
155;сидіти;209;0.0006628565629142854
156;удар;208;0.0006596850004123031
157;важко;207;0.0006565134379103209
158;джерело;206;0.0006533418754083387
159;єдиний;206;0.0006533418754083387
160;німеччина;206;0.0006533418754083387
161;чоловік;205;0.0006501703129063565
162;взяти;204;0.0006469987504043742
163;герой;203;0.000643827187902392
164;позиція;203;0.000643827187902392
165;ядерний;202;0.0006406556254004098
166;відповідальність;202;0.0006406556254004098
167;слава;201;0.0006374840628984276
168;новина;201;0.0006374840628984276
169;відео;200;0.0006343125003964454
170;думка;199;0.0006311409378944631
171;правда;199;0.0006311409378944631
172;мирний;199;0.0006311409378944631
173;загроза;197;0.0006247978128904986
174;система;195;0.0006184546878865341
175;план;195;0.0006184546878865341
176;міст;194;0.0006152831253845519
177;корабель;194;0.0006152831253845519
178;здаватися;192;0.0006089400003805875
179;ракетний;191;0.0006057684378786052
180;західний;190;0.000602596875376623
181;суд;190;0.000602596875376623
182;хлопець;187;0.0005930821878706764
183;стояти;186;0.0005899106253686941
184;особа;186;0.0005899106253686941
185;вихід;186;0.0005899106253686941
186;окупований;185;0.0005867390628667119
187;менший;185;0.0005867390628667119
188;починати;184;0.0005835675003647297
189;воєнний;183;0.0005803959378627475
190;перемогти;183;0.0005803959378627475
191;буча;182;0.0005772243753607652
192;використовувати;182;0.0005772243753607652
193;неможливо;182;0.0005772243753607652
194;геноцид;182;0.0005772243753607652
195;лютий;181;0.000574052812858783
196;дно;180;0.0005708812503568008
197;добрий;180;0.0005708812503568008
198;робот;180;0.0005708812503568008
199;канал;180;0.0005708812503568008
200;бог;178;0.0005645381253528364
201;число;178;0.0005645381253528364
202;продовжувати;178;0.0005645381253528364
203;ударити;176;0.0005581950003488719
204;більшість;176;0.0005581950003488719
205;живий;176;0.0005581950003488719
206;газ;174;0.0005518518753449075
207;єрмак;173;0.0005486803128429252
208;зелень;172;0.000545508750340943
209;вирішити;172;0.000545508750340943
210;політичний;171;0.0005423371878389607
211;чути;171;0.0005423371878389607
212;державний;170;0.0005391656253369785
213;заважати;169;0.0005359940628349962
214;знайти;168;0.000532822500333014
215;тримати;168;0.000532822500333014
216;оон;168;0.000532822500333014
217;безпека;167;0.0005296509378310318
218;Молдова;166;0.0005264793753290496
219;десяток;166;0.0005264793753290496
220;схожий;164;0.0005201362503250851
221;просити;164;0.0005201362503250851
222;увага;163;0.0005169646878231029
223;забути;163;0.0005169646878231029
224;назва;162;0.0005137931253211207
225;мордор;161;0.0005106215628191385
226;німець;161;0.0005106215628191385
227;здати;160;0.0005074500003171562
228;брехня;160;0.0005074500003171562
229;дитина;159;0.000504278437815174
230;кремль;159;0.000504278437815174
231;сторона;159;0.000504278437815174
232;цікаво;158;0.0005011068753131918
233;захисник;158;0.0005011068753131918
234;міжнародний;157;0.0004979353128112096
235;кров;157;0.0004979353128112096
236;район;156;0.0004947637503092274
237;зло;155;0.0004915921878072451
238;готовий;153;0.0004852490628032807
239;партія;153;0.0004852490628032807
240;виробництво;153;0.0004852490628032807
241;існувати;151;0.0004789059377993162
242;азов;151;0.0004789059377993162
243;окупація;150;0.00047573437529733396
244;значити;150;0.00047573437529733396
245;Донбас;150;0.00047573437529733396
246;допомогти;149;0.00047256281279535174
247;сподіватися;149;0.00047256281279535174
248;нація;148;0.0004693912502933695
249;лайно;147;0.0004662196877913873
250;мільйон;147;0.0004662196877913873
251;черга;147;0.0004662196877913873
252;рашиський;147;0.0004662196877913873
253;операція;146;0.0004630481252894051
254;статися;146;0.0004630481252894051
255;дурень;146;0.0004630481252894051
256;погано;146;0.0004630481252894051
257;виходити;146;0.0004630481252894051
258;стріляти;146;0.0004630481252894051
259;поставити;145;0.00045987656278742285
260;знищений;144;0.00045670500028544063
261;заява;144;0.00045670500028544063
262;Харків;143;0.0004535334377834584
263;ціль;143;0.0004535334377834584
264;іти;143;0.0004535334377834584
265;сбу;143;0.0004535334377834584
266;ппо;142;0.0004503618752814762
267;відповідати;142;0.0004503618752814762
268;вимагати;142;0.0004503618752814762
269;ціна;142;0.0004503618752814762
270;німецький;142;0.0004503618752814762
271;готуватися;141;0.00044719031277949396
272;звичайний;141;0.00044719031277949396
273;економіка;140;0.00044401875027751174
274;займатися;140;0.00044401875027751174
275;фото;140;0.00044401875027751174
276;початися;140;0.00044401875027751174
277;кацапська;140;0.00044401875027751174
278;постійно;139;0.0004408471877755295
279;шлях;139;0.0004408471877755295
280;умова;139;0.0004408471877755295
281;підтримувати;139;0.0004408471877755295
282;ріка;139;0.0004408471877755295
283;московія;139;0.0004408471877755295
284;винний;139;0.0004408471877755295
285;рада;139;0.0004408471877755295
286;місцевий;139;0.0004408471877755295
287;пуйло;138;0.00043767562527354724
288;допомагати;138;0.00043767562527354724
289;причина;138;0.00043767562527354724
290;їхати;137;0.000434504062771565
291;результат;137;0.000434504062771565
292;білорус;137;0.000434504062771565
293;підтримка;137;0.000434504062771565
294;шукати;136;0.0004313325002695828
295;пройти;136;0.0004313325002695828
296;група;136;0.0004313325002695828
297;втратити;136;0.0004313325002695828
298;повністю;136;0.0004313325002695828
299;центр;135;0.00042816093776760057
300;снаряд;135;0.00042816093776760057
301;жертва;135;0.00042816093776760057
302;брат;134;0.00042498937526561835
303;вбивство;134;0.00042498937526561835
304;старий;133;0.00042181781276363613
305;прямий;133;0.00042181781276363613
306;подібний;133;0.00042181781276363613
307;нести;133;0.00042181781276363613
308;завод;133;0.00042181781276363613
309;дата;133;0.00042181781276363613
310;пункт;133;0.00042181781276363613
311;Київ;132;0.0004186462502616539
312;вибір;131;0.0004154746877596717
313;загинути;131;0.0004154746877596717
314;важкий;131;0.0004154746877596717
315;красти;131;0.0004154746877596717
316;воїн;130;0.00041230312525768946
317;розвідка;130;0.00041230312525768946
318;залужний;130;0.00041230312525768946
319;пан;130;0.00041230312525768946
320;називати;130;0.00041230312525768946
321;село;129;0.00040913156275570724
322;нептун;129;0.00040913156275570724
323;стаття;129;0.00040913156275570724
324;сумнів;128;0.000405960000253725
325;ворожий;128;0.000405960000253725
326;слуга;127;0.0004027884377517428
327;втекти;127;0.0004027884377517428
328;виродок;127;0.0004027884377517428
329;наслідок;127;0.0004027884377517428
330;отримувати;127;0.0004027884377517428
331;наступний;126;0.00039961687524976057
332;заявити;126;0.00039961687524976057
333;свиня;126;0.00039961687524976057
334;варіант;126;0.00039961687524976057
335;черговий;126;0.00039961687524976057
336;артилерія;126;0.00039961687524976057
337;друг;126;0.00039961687524976057
338;вода;125;0.0003964453127477783
339;тип;125;0.0003964453127477783
340;пропаганда;124;0.00039327375024579607
341;машина;124;0.00039327375024579607
342;видно;124;0.00039327375024579607
343;показати;123;0.00039010218774381385
344;порох;123;0.00039010218774381385
345;генерал;123;0.00039010218774381385
346;визнати;123;0.00039010218774381385
347;година;122;0.0003869306252418316
348;асфальт;122;0.0003869306252418316
349;набагато;122;0.0003869306252418316
350;кошт;122;0.0003869306252418316
351;повернутися;121;0.0003837590627398494
352;цілий;121;0.0003837590627398494
353;зупинити;121;0.0003837590627398494
354;основний;121;0.0003837590627398494
355;керівництво;120;0.0003805875002378672
